node_id,label
2,0
9,0
22,0
24,0
44,0
48,0
51,0
55,0
64,0
70,0
75,0
83,1
93,0
104,1
108,0
123,0
131,0
142,0
144,0
146,1
151,0
152,0
153,0
159,0
171,0
174,0
180,0
182,0
191,0
192,0
224,0
230,0
259,0
265,0
266,0
271,1
288,0
305,0
318,0
321,0
339,0
361,0
370,0
374,1
385,0
387,0
388,0
415,0
416,1
419,0
420,0
423,0
441,1
447,0
450,0
455,1
460,1
462,0
480,0
519,0
521,0
545,0
547,1
556,0
557,0
575,0
581,0
585,0
595,0
599,0
600,0
622,1
651,1
653,0
660,0
664,1
666,1
686,0
687,0
701,1
715,0
716,0
732,0
741,1
748,0
754,0
759,1
760,0
768,0
790,1
808,0
818,0
819,0
823,0
824,0
826,0
832,0
838,0
848,0
856,0
863,0
866,1
869,0
875,0
886,0
891,0
893,0
902,0
905,1
916,0
926,1
928,1
932,0
948,0
951,0
965,0
985,0
991,0
992,0
997,0
1004,1
1023,0
1029,0
1051,1
1075,0
1083,0
1085,1
1102,0
1106,0
1114,0
1120,1
1121,0
1123,1
1148,0
1150,0
1152,0
1161,0
1164,1
1165,0
1166,1
1195,0
1227,0
1235,1
1248,0
1249,0
1251,0
1253,0
1265,0
1272,0
1275,1
1297,0
1326,0
1327,0
1330,0
1334,0
1345,0
1349,0
1355,0
1362,0
1365,0
1379,1
1383,0
1384,0
1390,0
1393,0
1398,0
1404,0
1408,0
1417,0
1418,0
1427,0
1437,0
1465,0
1471,1
1486,0
1493,0
1501,0
1504,0
1512,0
1518,1
1520,1
1522,0
1527,0
1542,0
1556,0
1558,0
1567,0
1579,0
1580,0
1581,0
1582,0
1591,1
1596,0
1620,0
1631,1
1637,0
1639,1
1645,0
1678,0
1693,0
1702,0
1703,0
1704,0
1706,0
1709,0
1711,0
1713,1
1722,0
1725,1
1731,0
1743,0
1747,1
1748,0
1749,0
1762,0
1764,0
1767,0
1770,0
1774,0
1776,0
1777,0
1780,1
1789,0
1805,0
1816,0
1818,0
1832,0
1846,0
1853,0
1865,0
1872,0
1877,1
1900,0
1901,1
1908,0
1912,1
1915,0
1919,0
1924,1
1931,0
1938,0
1939,0
1940,0
1948,0
1949,0
1957,0
1961,1
1968,0
1973,0
1994,0
1996,0
1997,0
1998,0
2020,1
2040,0
2041,0
2046,0
2063,0
2069,1
2075,0
2089,0
2099,0
2111,0
2113,0
2119,0
2120,0
2131,0
2138,0
2153,0
2162,0
2167,0
2171,0
2176,0
2177,0
2183,1
2189,1
2194,0
2201,0
2231,0
2235,0
2248,0
2257,0
2258,1
2262,1
2263,0
2271,0
2274,0
2275,0
2278,0
2283,1
2291,0
2292,0
2326,0
2334,1
2343,1
2348,0
2363,0
2377,0
2378,0
2379,0
2381,0
2388,0
2396,0
2446,0
2450,0
2452,0
2464,0
2471,1
2475,0
2484,0
2486,0
2488,0
2491,0
2496,0
2498,0
2500,1
2512,0
2521,0
2535,0
2547,0
2550,0
2568,0
2570,0
2573,0
2575,0
2583,0
2586,0
2592,0
2593,0
2595,0
2606,0
2609,0
2610,1
2612,0
2633,0
2642,0
2644,0
2652,0
2662,0
2666,0
2692,1
2694,0
2697,1
2719,0
2722,1
2723,0
2743,0
2754,0
2760,0
2767,0
2778,1
2788,0
2791,0
2797,0
2799,0
2800,1
2815,1
2829,1
2831,0
2833,0
2836,0
2838,0
2842,0
2846,0
2855,0
2861,1
2862,1
2865,0
2867,0
2871,0
2875,0
2879,1
2883,0
2892,0
2895,0
2917,0
2926,1
2927,0
2931,0
2946,1
2948,0
2950,1
2960,0
2967,0
2970,0
2994,0
3006,0
3010,0
3011,0
3026,1
3034,0
3048,0
3060,0
3070,0
3082,0
3095,0
3097,0
3107,1
3111,0
3115,0
3126,0
3140,0
3144,0
3164,0
3172,0
3180,0
3183,0
3191,0
3198,1
3209,1
3210,0
3211,0
3216,0
3221,0
3226,1
3235,1
3241,0
3253,0
3267,0
3270,1
3274,0
3277,1
3278,1
3279,0
3281,0
3285,0
3295,1
3297,0
3303,0
3316,0
3317,0
3322,0
3323,0
3337,0
3338,0
3352,0
3361,1
3377,0
3380,0
3390,0
3399,0
3403,0
3421,0
3425,0
3430,0
3434,0
3447,0
3464,0
3471,0
3481,0
3482,0
3489,0
3491,1
3514,0
3523,0
3525,0
3546,0
3562,0
3568,0
3571,0
3597,1
3610,0
3614,1
3624,0
3638,0
3640,0
3657,0
3661,0
3663,0
3667,0
3670,0
3686,0
3693,0
3695,0
3701,0
3723,0
3729,0
3734,0
3742,0
3751,0
3759,0
3776,0
3778,0
3786,0
3789,0
3794,0
3800,0
3804,0
3808,1
3810,0
3812,0
3817,0
3833,1
3834,1
3843,0
3849,0
3854,0
3856,0
3891,0
3905,0
3931,1
3950,0
3954,0
3956,1
3959,0
3979,0
3986,0
3996,0
4005,0
4007,0
4021,0
4026,0
4040,0
4071,0
4077,1
4091,0
4098,1
4109,1
4111,1
4114,0
4118,0
4123,0
4132,1
4149,0
4162,0
4167,0
4183,0
4193,1
4194,0
4196,0
4198,0
4201,0
4214,1
4215,0
4221,0
4232,0
4234,0
4252,0
4259,0
4262,0
4273,0
4276,1
4281,0
4303,0
4304,0
4308,0
4324,1
4325,0
4332,0
4337,0
4344,0
4347,0
4351,0
4357,0
4364,0
4365,0
4368,0
4369,1
4374,0
4385,0
4394,0
4397,0
4404,0
4407,0
4408,0
4409,0
4442,0
4449,0
4460,0
4462,0
4472,0
4476,0
4483,0
4485,0
4509,0
4516,0
4528,0
4537,1
4546,0
4556,0
4590,0
4595,0
4596,0
4598,0
4606,0
4614,0
4622,0
4628,0
4640,1
4658,0
4661,0
4668,1
4675,0
4681,0
4690,1
4692,0
4697,0
4704,0
4731,0
4734,0
4737,0
4747,0
4749,1
4764,0
4781,0
4802,0
4816,0
4838,0
4841,0
4843,0
4849,0
4851,1
4859,0
4860,1
4867,1
4870,1
4888,0
4889,0
4903,1
4920,1
4928,0
4932,0
4936,1
4989,0
4994,0
4996,0
5005,0
5019,0
5020,0
5025,0
5032,0
5042,0
5051,1
5055,0
5061,0
5078,0
5084,1
5088,0
5096,0
5100,0
5112,0
5116,0
5128,0
5134,1
5152,0
5163,0
5172,1
5198,0
5201,0
5218,0
5221,1
5223,0
5224,0
5237,0
5238,0
5248,0
5252,1
5264,0
5273,1
5287,0
5295,0
5296,0
5305,0
5308,0
5313,0
5319,0
5325,0
5338,0
5341,0
5344,0
5350,0
5370,0
5376,0
5383,0
5391,0
5403,0
5423,0
5424,1
5442,0
5451,0
5463,0
5468,0
5469,0
5493,0
5497,1
5499,0
5505,0
5512,1
5523,1
5547,0
5552,0
5554,0
5555,0
5557,0
5559,0
5562,0
5567,1
5570,0
5578,1
5580,0
5585,0
5588,1
5594,0
5615,0
5630,0
5641,0
5644,0
5647,1
5652,0
5663,0
5672,0
5687,0
5688,0
5699,0
5703,0
5704,0
5708,0
5725,0
5726,0
5727,0
5749,0
5755,0
5759,0
5761,0
5762,0
5781,0
5805,0
5811,0
5816,0
5829,0
5834,1
5835,0
5843,0
5848,1
5849,0
5858,0
5864,1
5865,0
5866,0
5875,0
5882,0
5886,0
5893,1
5908,0
5929,0
5933,0
5958,0
5961,0
5999,0
6002,0
6014,1
6017,0
6026,0
6029,0
6042,0
6043,0
6046,0
6053,0
6060,1
6064,1
6065,1
6084,0
6091,0
6095,0
6099,0
6121,1
6122,0
6126,1
6145,0
6151,1
6153,0
6156,0
6158,0
6160,0
6170,0
6175,0
6178,0
6183,1
6195,0
6200,0
6205,0
6206,0
6215,0
6223,1
6229,1
6234,0
6240,0
6278,0
6281,0
6284,0
6287,0
6303,0
6305,0
6310,0
6345,0
6346,1
6350,0
6351,0
6354,0
6355,0
6356,1
6362,0
6363,1
6371,0
6387,0
6392,0
6393,0
6403,0
6407,1
6413,0
6419,0
6433,0
6435,1
6438,0
6442,1
6445,0
6454,0
6468,0
6476,0
6477,0
6493,0
6498,0
6503,0
6511,0
6541,1
6548,0
6551,0
6566,0
6587,0
6612,0
6619,0
6622,0
6625,0
6628,0
6646,0
6649,0
6651,0
6655,1
6675,0
6676,1
6677,1
6682,0
6685,0
6688,0
6708,0
6712,0
6776,0
6779,0
6781,0
6783,0
6786,0
6801,0
6803,0
6809,0
6811,1
6815,0
6817,0
6821,1
6826,0
6829,0
6834,0
6847,0
6872,1
6876,0
6881,0
6882,1
6887,1
6888,0
